// W=16 TW=16  fields: ur ui br bi cos sin | o0r o0i o1r o1i
71E5 2006 2F26 65AF E0E6 7C2A 648A ECCB 0D5C 333C
DBA5 BD54 8D60 E70A 9307 4326 1812 075B C394 B5F9
98C1 E7F6 77C3 7393 63EF 4FFB 1F3D FBAE 8000 EC48
81F1 2BF8 83A6 CCE8 0192 7FFE A6AA 53D8 DB48 D820
5FC3 97C5 2986 0874 7556 3327 449A C777 1B29 D04F
587A 5856 FB92 71E8 D65C 790A 62D1 1BBC F5AA 3C9A
6767 75E8 11D9 C7E6 7308 3825 2F6B 1DD5 37FD 5814
1016 B145 400E 6D8B 5C29 58D4 451D E9D8 CAF9 C76D
0D65 8C96 AE38 E08E 8894 2E11 2731 E3AE E635 A8E9
7831 243E 155D 11D7 7DB1 1833 4846 18DD 2FEC 0B62
E054 7BBB E934 B69B 5DC8 571E CED6 2ABD 117E 50FF
369F 89BE 782B 604F E57D 7D3A 3DFA 801E F8A5 09A1
F7BD 42ED 0C31 FA28 447B 6C24 FCAA 1AC0 FB14 282D
F25D 4056 8E1A 8673 AECC 62F2 EE55 72BF 0409 CD97
DF47 4DC1 87C5 683E 76D9 2F87 CB2D 6D98 141B E02A
EA72 7797 9BC6 2863 AC65 60EC 253F 548D C533 230A
ED9F 943A 0613 EEEF 8A5A 326E F0A8 D0C3 FCF7 C378
2EA9 D81E 8EDB 171D 51CF 6272 FC10 1EF5 329A B92A
2F05 5D23 DAFC 6743 F8EF 7FCE 4C16 3E33 E2F0 1EF1
07E4 43E7 4A04 68BF 8001 00C9 DF43 ED5B 28A2 568D
A6AC E9A0 6EF4 CEC2 7FFE 0192 0A82 DB83 9C2A 0E1D
1379 40C3 3E3C 4F7E C890 735F 2016 F31F F364 4DA5
A302 58DD EB3D 58EF 9523 4675 F2A6 0D06 B05D 4BD8
786D 83A7 5DBD 20E2 0648 7FD9 4EF0 93D2 297E EFD5
4B03 73C4 0354 9664 ACFD 616F FC3C 5ADD 4EC8 18E8
BB0C B9F6 B162 B2D2 8549 2467 F83C 0D28 C2D0 ACCE
DCF5 9B2D ADED E510 3BA5 7141 CF71 EB9F 0D85 AF8E
CF65 72B8 5DD7 12C5 801E 057F B939 2DF8 162C 44C0
D70E A337 C582 96DC 8181 138F 0066 0A08 D6A9 9930
B80F F1C9 B3C3 7AFB 70E3 3C57 D766 4118 E0A9 B0B2
03F9 7357 056B 6620 86B6 28E5 0FBC 086C F43E 6AEC
4498 3E26 139C 14A5 91CF 4121 1F1C 1133 257C 2CF3
ED38 721D 60D0 DFD8 23A7 7AEF F4A7 0617 F892 6C07
36E2 6C39 98B5 9197 5B10 59F4 CFE7 3322 66FB 3917
EE14 A9A9 04FE 0A92 81A0 1455 F56A CF37 F8AA DA72
3EEB C041 4957 4E58 BB85 6C24 2CF0 AC31 11FC 1411
2D2D CF5C 3792 A282 CD92 75A6 E0AD E08F 4C80 EECD
6BCB 78B8 CC56 D52A D1EF 776C 2B36 5C2B 4095 1C8D
E5F5 3B29 B3F2 AB42 7E7F 138F C6ED F985 1F09 41A5
F82F B681 CCAE 6A5B 9592 471D 2EF9 BD4B C936 F937
5715 17DF 9CC6 3F27 D71B 794A 5950 30DC FDC5 E703
68A5 FAAC AC53 183D 1201 7EBA 3A70 2877 2E36 D236
28C6 E02E CE81 A003 80F6 0FAB 2713 22C1 01B3 BD6D
4149 F741 BC02 20CB 22E5 7B27 2727 20CE 1A23 D673
229E 971D AF13 3C28 7DB1 1833 EF43 F0BE 335B A65F
2D77 E959 80D2 4397 B505 67BD 575F 146A D618 D4EF
50B2 653D 3AE0 5750 7840 2BDC 52F6 518C FDBC 13B2
6B1F 69D1 31AF 4D52 A84F 5D3E 40B4 0854 2A6B 617E
60B0 63AD 05F7 50FE 84A3 2224 3846 0A04 286B 59AA
CC12 8BF1 AB92 87C1 1A83 7D3A A279 E2D2 299A A920
852C C24A C0B5 34EB 5B10 59F4 BEAB 0A35 C682 B815
7328 B000 78C7 112A 5CB4 5843 6B3C B493 07ED FB6D
89FA CE4C 1723 9BEA 6F5F 3F17 B664 B5E8 D397 1865
9D65 2D89 968F 8565 1201 7EBA 8A97 4258 12CE EB32
CF81 11F0 7037 5B88 F11C 7F22 0EAE CBEB C0D3 4605
2493 4FC4 EFF8 2874 63EF 4FFB 18AB 3CAF 0BE8 1315
1C5A BCAB B0F5 42ED E26D 7C89 37DD FD0E E47D BF9D
E074 8A28 BCA4 4D39 0D54 7F4E 131F EA99 CD55 9F90
75C7 668A 5AA0 8416 7E7F 138F 5E34 EF1E 1794 776C
1423 D6B2 5788 D168 719E 3AF3 2630 C284 EDF3 142F
9CDB CD24 2069 A050 9930 4C40 A4E9 0359 F7F2 C9CC
CD78 D050 29A9 5CE1 19BE 7D63 186A DD18 B50E F339
4C10 CE13 A10F 5419 A129 55F6 6572 E7C3 E69F E650
402E 61F3 FF89 B281 DE9E 7B92 FABF 3B4E 4570 26A5
12DA E2D3 2385 C35E D59E 78C8 E6F1 EAB1 2BEA F822
4B36 98A3 F423 2943 7E60 1455 2307 E1A1 2830 B702
21C7 69A1 52EA 2F79 97CE 4A58 FCEE 096A 24DA 6037
DC97 D3C1 9565 38D8 471D 6A6E E851 25FD F447 ADC4
5E05 F748 6498 A362 7023 3DB8 44BF BAD2 1947 3C77
D8D0 86D5 FDE9 269B C248 7023 FDD2 BB06 DAFE CBCF
B6F5 AA0B 104F 220E 8205 16A8 D678 C2D2 E07E E739
6552 E11B A965 C0B5 88DD 2ECC 4F65 1DD7 15ED C344
F4DD 7E2C 2841 1859 79C9 2768 1155 4479 E389 39B3
1739 E16E 57FC A23B 698C 486A 155D B12B 01DD 3044
2996 2E2C 549F 064F 30FC 7642 27E6 F134 01B0 3CF8
CE54 DF29 29B3 0A1E 4CE1 6657 F7BB E1F3 D699 FD36
B70E 35F3 BF56 B57A 41CE 6DCA AAF2 238D 0C1C 1266
5A86 F519 183C 94DF 3C57 70E3 03BC D69D 56CA 1E7D
40B3 45D9 143C 6054 4B9E 6747 4D30 3737 F383 0EA2
AA19 93DA B314 435F 85FA 26A8 03E3 B56E A636 DE6D
A18E 0078 A219 583C 75A6 326E B701 3B48 EA8D C530
23FB 94CD 3CF9 6809 AB36 5FE4 24C4 911B FF38 03B2
C4ED 5785 CE70 40F6 9169 4074 083B 1C2D BCB3 3B58
FC40 1EB3 5AE6 AFE8 7FC2 07D9 2909 E498 D338 3A1C
EF4F AE6B 6248 5DE2 30FC 7642 35D4 BBC6 B97B F2A5
CF0D 35FC F40C 98C8 C198 6FC2 BD61 3960 11AC FC9D
3A31 91F2 46C6 08A9 9307 4326 013E B2B9 38F4 DF39
599C 2C98 D55B DEE8 AD97 61F1 2DDF 3144 2BBD FB54
9070 BB23 04CE 715A A3D7 58D4 EDD2 B318 A29E 080B
50C8 B0DA C7C3 C428 A60C 5B10 26DE 0176 29EB AF65
093F B60C 3F92 2363 86B6 28E5 EC28 C01B 1D17 F5F2
0F04 A030 6378 AF2C 7E1E 15E2 319A 9FC6 DD6A 006B
4CAE F35E 24FF A132 AE31 6272 F610 09C1 569F E99E
E7C2 7F2C 22CE 706E 9A9C 4E21 0868 0870 DF5A 76BD
57D0 9687 46F1 1A6D 29A4 790A 43F1 AE05 13E0 E882
CFF4 2427 B2A0 AF37 8A0C 31B5 FBF1 4653 D403 DDD5
426E 174A 41F8 D28C AE31 6272 FAA8 00CD 47C7 167D
B4AA F1DE A5A8 E0D0 3DB8 7023 B6E4 18FD FDC6 D8E1
EB76 F9F9 8888 D79F 8F1D 3C57 20E5 2AF4 CA91 CF06
EEEA 0AD8 9A55 E334 809E 0C8C 28A3 18BC C648 F21C
0C4B 852E 38BD 4514 2ECC 7723 30AB B4D0 DBA1 D05E
882C 54A4 C09A 6B61 354E 7460 E7B3 5D80 A079 F724
E32E 4B1F A347 8791 A2C2 57B1 EA1C 7130 F913 D9EF
6D00 7E31 A0EF A5E2 3E68 6FC2 F7FC 52A1 7504 2B90
3671 6985 5348 DFDE 8407 1FDD EEE4 39F5 478D 2F91
C1A4 9F95 EF4C 9780 BC2F 6C8F B8EF F28F 08B6 AD07
7CE5 9B73 9DE3 ADB5 6CF9 4326 FF19 C46E 7DCC D705
08EE 1330 735A F23E 8377 1D93 CAC3 02F6 3E2B 103A
4019 5AD7 B0C8 F44F 84A3 2224 44AA 3D9F FB6F 1D39
405C B79A 5886 44E4 7308 3825 5711 E758 E94B D043
914E C240 F930 A751 7F62 0C8C C0EB B555 D064 0CEC
9C37 D055 E3C8 CFEE 15E2 7E1E B404 F1F6 E834 DE60
3841 BF6F F47C 3A94 7DFB 16A8 1BA5 FD90 1C9C C1DF
7098 7ED0 CA48 6381 59F4 5B10 48D1 757B 27C7 0956
6A94 28FF BF1F 8FDD 2A62 78C8 F5A4 208B 74F0 0874
3E94 BA28 03C6 9FF9 1E57 7C5A F118 CFDE 4D7D EA4B
8874 7C86 00DA 5790 768E 3042 D521 66A7 B354 15DF
AAFE AD22 119E 5C48 D65C 790A FE43 BF3A ACBB EDE8
FBF7 7128 AF07 AA2F BF8C 6E97 ED4C 712A 0EAB FFFE
5AB2 C40F C2C4 06E5 9E0F 5269 46FF F31B 13B4 D0F5
C86F 52F3 0423 347E CE4B 75F4 FB9A 1D61 CCD6 3593
FB0F 0944 7EB0 E546 8205 16A8 BCD2 0693 3E3D 02B1
4A72 AEB0 5F99 E20E 6C8F 43D1 45D4 B152 049E FD5E
C0BE A2E5 D6E6 9CFA EEC6 7ED6 B214 EC7A 0EAB B66C
7AC6 76D5 710C BE63 5FE4 54CA 5200 FD66 28C6 7970
2D9A 784B 5377 B533 A976 5E50 DF08 36AF 4E93 419C
01A8 F13C FF54 0BA4 84A3 2224 02B5 F319 FEF4 FE23
4ACF 8A60 433B D0BA 3F17 6F5F 2168 9C4A 2967 EE16
1997 7BF7 90FF 0389 5E50 568A E519 64CF 347F 1728
69EA F70E 5AE9 617F 79C9 2768 6F37 1BEA FAB4 DB24
42CE 4A57 5438 7CD0 A2C2 57B1 2D7B DADD 1553 6F7B
5564 352D CBA0 5985 B505 67BD 5E50 1598 F715 1F96
2E75 7920 3C55 D6C4 4AFB 67BD 1831 180A 1645 6117
D3F0 AAEA 94C9 41AB 9C8F 5098 284A DDB4 ABA6 CD37
AA74 E4E3 6B61 5651 DA18 7A42 EE8D B262 BBE8 3282
78A4 D455 5813 6FC7 DB99 7AB7 6561 B00E 1344 2448
A7B6 CB41 03B4 C781 7AEF 23A7 CDC4 C9FB D9F2 0146
ABA2 7726 E1D9 134B 18F9 7D8A DC56 4C3E CF4C 2AE8
4DBD 99E1 C82C 15A1 9843 4AFB 43D4 D487 09E9 C55A
F627 33ED 4D00 24C8 9448 4524 E49C F5B1 118B 3E3D
7358 B7E5 EEF9 B9DE 2224 7B5D 159B DACD 5DBD DD19
8093 312E BC51 55C6 AECC 62F2 F6E9 178B 89AB 19A3
D5C7 F431 2B6E EABD 6564 4E21 F59A E46C E02E 0FC6
8B0E 0D3C 0844 44E8 75A6 326E D6E7 24A8 B428 E894
90B8 3C7A 3A53 4C76 7FE2 057F E723 432F A995 F94C
27CA 7556 437B F7FA 0A33 7F98 1296 18B7 1535 5C9F
E8B8 8E13 386F 09C2 F75E 7FB5 F753 AA8F F165 E385
6EB5 3B18 7587 95B2 8181 138F F529 4919 798D F200
1013 E6FC 0EE0 8963 82F1 1B47 F422 2BDA 1BF1 BB22
213D 8A23 69E5 F3EB 776C 2E11 3FD8 AC61 E165 DDC3
218D 919F 0CFD 42DF 7CB7 1CD0 1EA1 E7ED 02EC A9B2
4A7D 17DD D2FC B8E1 7FF1 03ED 0DA8 E914 3CD5 2EC9
B20F C8D3 60F1 037F 6832 4A58 0181 C9AF B08F FF24
3E38 F44C 55CE 4012 82F1 1B47 FC05 D1B5 4233 2297
3512 9BD0 0DAF ECBB 96E6 490F 0F6B D1EA 25A7 C9E7
A76C F73F 535C 1ED1 7F22 0EE4 FEE7 0614 A886 F12B
51A4 DDE7 2D97 273D C946 73B6 30D0 D1F5 20D5 0BF2
EAC9 E7F8 99C2 0EEE 4EC0 64E9 DBD4 20E1 0EF6 C717
E565 AAD6 3E89 6C41 2F87 76D9 3091 CC7C B4D5 DE5A
EC7D F774 9275 4165 88DD 2ECC 352E F152 B750 0623
00EF 8FD4 D689 A858 929E 427A FB6C F823 0583 97B2
4CD5 E186 E05D 5840 7B27 22E5 233A 1F87 299B C1FF
4905 765E F281 411A B0A2 646C 423C 2C4C 06CA 4A13
6587 88CD 349B E3C9 8CA1 3770 14F2 C5BA 5095 C314
5C3E C944 145C FE61 E958 7DFB 2B86 DAC2 30B9 EE82
54FC 2A2C 41A1 2D7B 5A82 5A82 51C7 0DF7 0336 1C36
1566 E111 EBAE 9C9B 6BB8 4524 E74E CC33 2E18 14DE
D7EA CAEA 22ED CAFC 5B9D 5964 E5F2 C64A F1F9 04A0
EE45 117A 7FC2 029B 398D 7255 1505 D044 D940 4136
D25C F287 6D40 DF22 5B9D 5964 04CD C75B CD90 2B2D
14D8 4602 72A9 C7F7 87C0 2BDC CAF7 29AF 49E2 1C54
5AFD E08C D5CC C453 45CD 6B4B 08FA F1B1 5203 EEDC
6267 CF90 FE6B 6F4F BA33 6B4B 6049 CA19 021F 0578
A173 92C3 B938 5DD6 60EC 539B D493 0406 CCE1 8EBD
D01E 0A41 FE99 934E 6832 4A58 C7EC D94B 0832 30F6
